"country","brand","sales"
"China","Galaxy/Dove",706.0092943129
"China","Nestle",241.7080253745
"China","Kinder",208.0665111956
"China","M&M's",202.748266107
"China","Ferrero Rocher",170.1894719113
"China","Snickers",169.387342914
"China","Hershey's",111.4875930903
"China","Cadbury",57.870356295
"China","Co Co",50.2588148703
"China","Godiva",45.2182436906
"China","Ritter Sport",29.5558861697
"China","Hsu-Fu-Chi",26.6661147658
"China","Oreo",20.7661037491
"China","Meiji",18.6961017028
"China","Golden Monkey",16.7495096933
"China","Bon o Bon",11.4312725603
"China","Lindt",11.2109041873
"China","Lotte",10.6981784004
"China","Milka",6.7800188986
"China","Toblerone",4.5910199993
"China","Maltesers",4.1282451784
"China","Bainuo",2.4108364184
"China","Yili",0.5876505785
"China","Le Conte",NA
"China","Marveille",NA
"China","Kit Kat",NA
"China","Smarties",NA
"India","Cadbury",916.6703005388
"India","Kinder",230.150818449
"India","Kit Kat",59.8942445555
"India","Munch",42.5787763258
"India","Toblerone",23.4849255991
"India","Nestle",22.1820944598
"India","Ferrero Rocher",22.1310128857
"India","Snickers",18.4425110897
"India","Amul",15.4529481495
"India","LuvIt",14.270004102
"India","Galak/Milkybar",7.9364267688
"India","Mars",6.7127021481
"India","Bar One",5.1668301396
"India","Lindt",3.1927497197
"India","Choco Swiss",2.694948253
"India","After Eight",0.8129341813
"Japan","Meiji",361.3566037131
"Japan","Godiva",343.107919148
"Japan","Kit Kat",169.1441930212
"Japan","Ghana",158.5239822588
"Japan","Mary",143.8227723936
"Japan","Zero",131.9748704422
"Japan","Look",111.4407688247
"Japan","Morozoff",102.8970888832
"Japan","Galbo",96.7062865198
"Japan","Choco Ball",86.3305711099
"Japan","Dars",84.0974885846
"Japan","Crunky",83.8438724454
"Japan","Carre de Chocolate",78.0900473305
"Japan","Koeda",67.4317718506
"Japan","Fujiya",57.1645605065
"Japan","Cacao No Megumi",48.2053942445
"Japan","Choco Egg",45.4562559417
"Japan","Morinaga",37.6789628879
"Japan","Black Thunder",35.5033876959
"Japan","Mental Balance Chocolate GABA",26.5050121588
"Japan","Snickers",19.8216189361
"Japan","Lindt",18.5305579005
"Japan","Crunch",18.1639932443
"Japan","Hershey's",14.9751188631
"Japan","Alphabet Chocolate",14.4909858391
"Japan","M&M's",14.3903465195
"Japan","Bon o Bon",13.5567993669
"Japan","Lotte",13.2455183319
"Japan","Maxim de Paris",10.6122122368
"Japan","Ferrero Rocher",9.546465551
"Japan","Lindor",7.935424099
"Japan","Almond Peak",4.7738013383
"Japan","Milky Way",4.5843019811
"Japan","Kodawari Chocolat",NA
"Japan","Kabaya",NA
"Japan","Private label",133.5195297799
"Australia","Cadbury",612.8205506782
"Australia","Lindor",106.5578784752
"Australia","Lindt",105.2841475151
"Australia","Darrell Lea",99.3045980782
"Australia","M&M's",86.5886877187
"Australia","Ferrero Rocher",86.0258826578
"Australia","Marvellous Creations",75.3117385277
"Australia","Kit Kat",68.7250820874
"Australia","Maltesers",59.8185173467
"Australia","Mars",58.2268046845
"Australia","Kinder",35.942336283
"Australia","Snickers",29.1454811582
"Australia","Whittakers",26.3473198581
"Australia","Toblerone",24.2717638323
"Australia","Smarties",23.2904733018
"Australia","Pods",21.6260483225
"Australia","Haigh's Chocolate",21.2928390805
"Australia","Crunch",20.1601814919
"Australia","Freddo",16.9009630111
"Australia","Guylian",16.3735005264
"Australia","Green & Black's",14.3385892776
"Australia","Milky Way",13.8349052591
"Australia","Galak/Milkybar",13.6209779948
"Australia","Heritage",13.5099387343
"Australia","Allen's",11.9207155506
"Australia","Merci",11.5346684744
"Australia","Hillier's",11.0209764266
"Australia","Fry's Turkish Delight",11.0082133076
"Australia","Twix",10.2476131037
"Australia","Rolo",9.6556246394
"Australia","Bounty",8.407750052
"Australia","Chocolatier",6.7774047428
"Australia","Mars Celebrations",6.1702137963
"Australia","Ritter Sport",5.9238995068
"Australia","Aero",5.9025265759
"Australia","Sweet William",5.5789920964
"Australia","Terry's",5.4923477205
"Australia","Chokito",5.2941472699
"Australia","Baci",5.0493849892
"Australia","Menz",4.9159946094
"Australia","Alter Eco",4.8743268535
"Australia","Well Naturally",4.4646024814
"Australia","Caramello",4.0450392192
"Australia","Raffaello",3.7570424523
"Australia","Peppermint Crisp",3.4459205978
"Australia","Willie's Cacao",3.3201684191
"Australia","Furry Friends",3.1490302411
"Australia","Reese's",2.6171796903
"Australia","Yan Yan",2.2313409059
"Australia","Curly Wurly",1.3939333369
"Australia","Chomp",1.0887209399
"Australia","Violet Crumble",0.9837772683
"Australia","Pascall",0.6940762674
"Australia","Toffifee",0.3507776371
"Australia","Crispello",NA
"Australia","Wonka",NA
"Australia","Lindt Hello",NA
"Australia","Club",NA
"Australia","Rondnoir",NA
"Australia","Galaxy/Dove",NA
"Australia","Ballantyne",NA
"Australia","Milka",NA
"Australia","Private label",145.519773011
"Russia","Kinder",643.2488052777
"Russia","Alpen Gold",549.0632179334
"Russia","Alenka",328.8959404786
"Russia","Snickers",326.7785255991
"Russia","Babayevsky",290.2997984527
"Russia","Krasny Oktyabr",286.3939105437
"Russia","Raffaello",232.0503069884
"Russia","Milka",228.8702097297
"Russia","Dary Solntsa",203.2194882598
"Russia","Konti",195.9375864417
"Russia","A Korkunov",192.0829981443
"Russia","M&M's",189.3635984519
"Russia","Kit Kat",178.4957393245
"Russia","Rot Front",157.5372049821
"Russia","Vdokhnovenye",140.958783396
"Russia","Twix",138.4191300504
"Russia","Nesquik",131.2761638132
"Russia","Galaxy/Dove",125.8240556651
"Russia","Ritter Sport",121.4536409287
"Russia","Vozdushny",120.8350279658
"Russia","Bounty",101.6537598209
"Russia","Chio Rio",90.9566045735
"Russia","Mars",83.022797073
"Russia","Merci",81.4271242165
"Russia","Skazki Perro",74.9638310071
"Russia","Russky Shokolad",72.9325692988
"Russia","SladKo",66.6283413048
"Russia","Ferrero Rocher",60.9287775659
"Russia","Rodnye Prostory",51.4157380581
"Russia","Puteshestvie",50.7075536842
"Russia","Mishka na Severe",46.1862473318
"Russia","Lindt",46.0638306421
"Russia","AVK",45.4848005844
"Russia","Yashkino",45.0283901256
"Russia","Milky Way",44.5529114034
"Russia","Ruzanna",44.0545715765
"Russia","Krokant",38.6403476192
"Russia","Slavyanka",35.176185265
"Russia","Sudarushka",30.6403110716
"Russia","Chupa Chups",29.5768768877
"Russia","Konfitreid",29.24392628
"Russia","Glays",26.9320723454
"Russia","Rossiyskiy",25.4616673132
"Russia","Chudo",25.1484587315
"Russia","Kofe s Molokom",23.3038969127
"Russia","Komilfo",20.8380895141
"Russia","Zebra",19.0225658248
"Russia","Fruzhe",18.5810835009
"Russia","O'Zera",18.0545692093
"Russia","Assorti",17.8935828599
"Russia","Fruktovichi",17.579212753
"Russia","Tretyakovskaya Gallereya",17.5538295907
"Russia","Sharmel",16.8695299726
"Russia","Toffifee",14.2695657653
"Russia","Sormovskaya",13.1009946924
"Russia","Nestle",12.3633351538
"Russia","Sovershenstvo",12.2992795765
"Russia","Cadbury",11.8320837125
"Russia","Zolotaya Marka",11.0046186369
"Russia","Etre",10.5018674856
"Russia","Sprint",9.0997706696
"Russia","Kolektsia",8.3805381492
"Russia","Shokotel",4.9222956063
"Russia","Landrin",NA
"Russia","Roshen",NA
"Russia","Buckwood",NA
"Russia","Amour",NA
"Russia","For Men",NA
"Russia","Classic",NA
"Russia","Shok",NA
"Russia","Krasnaya Shapochka",NA
"Russia","Vivat",NA
"Russia","Private label",129.5523199698
"Argentina","Cofler",144.8083048335
"Argentina","Bon o Bon",142.9111364041
"Argentina","Kinder",93.7189572849
