Data/Hora,Chuva Horária (mm),Nível adotado (cm),,,,,,,,,,,,,,,,,,
4/6/2024 17:15,0,414,,,,,,,,,,,,,,,,,,
4/6/2024 17:00,0,415,,,,,,,,,,,,,,,,,,
4/6/2024 16:45,0,415,,,,,,,,,,,,,,,,,,
4/6/2024 16:30,0,415,,,,,,,,,,,,,,,,,,
4/6/2024 16:15,0,415,,,,,,,,,,,,,,,,,,
4/6/2024 16:00,0,415,,,,,,,,,,,,,,,,,,
4/6/2024 15:45,0,415,,,,,,,,,,,,,,,,,,
4/6/2024 15:30,0,416,,,,,,,,,,,,,,,,,,
4/6/2024 15:15,0,416,,,,,,,,,,,,,,,,,,
4/6/2024 15:00,0,416,,,,,,,,,,,,,,,,,,
4/6/2024 14:45,0,416,,,,,,,,,,,,,,,,,,
4/6/2024 14:30,0,416,,,,,,,,,,,,,,,,,,
4/6/2024 14:15,0,417,,,,,,,,,,,,,,,,,,
4/6/2024 14:00,0,417,,,,,,,,,,,,,,,,,,
4/6/2024 13:45,0,417,,,,,,,,,,,,,,,,,,
4/6/2024 13:30,0,417,,,,,,,,,,,,,,,,,,
4/6/2024 13:15,0,417,,,,,,,,,,,,,,,,,,
4/6/2024 13:00,0,417,,,,,,,,,,,,,,,,,,
4/6/2024 12:45,0,418,,,,,,,,,,,,,,,,,,
4/6/2024 12:30,0,418,,,,,,,,,,,,,,,,,,
4/6/2024 12:15,0,418,,,,,,,,,,,,,,,,,,
4/6/2024 12:00,0.2,418,,,,,,,,,,,,,,,,,,
4/6/2024 11:45,0,419,,,,,,,,,,,,,,,,,,
4/6/2024 11:30,0,419,,,,,,,,,,,,,,,,,,
4/6/2024 11:15,0,419,,,,,,,,,,,,,,,,,,
4/6/2024 11:00,0,419,,,,,,,,,,,,,,,,,,
4/6/2024 10:45,0,419,,,,,,,,,,,,,,,,,,
4/6/2024 10:30,0,419,,,,,,,,,,,,,,,,,,
4/6/2024 10:15,0,420,,,,,,,,,,,,,,,,,,
4/6/2024 10:00,0,420,,,,,,,,,,,,,,,,,,
4/6/2024 9:45,0,420,,,,,,,,,,,,,,,,,,
4/6/2024 9:30,0,420,,,,,,,,,,,,,,,,,,
4/6/2024 9:15,0,420,,,,,,,,,,,,,,,,,,
4/6/2024 9:00,0,420,,,,,,,,,,,,,,,,,,
4/6/2024 8:45,0,421,,,,,,,,,,,,,,,,,,
4/6/2024 8:30,0,421,,,,,,,,,,,,,,,,,,
4/6/2024 8:15,0,421,,,,,,,,,,,,,,,,,,
4/6/2024 8:00,0,421,,,,,,,,,,,,,,,,,,
4/6/2024 7:45,0,421,,,,,,,,,,,,,,,,,,
4/6/2024 7:30,0,421,,,,,,,,,,,,,,,,,,
4/6/2024 7:15,0,422,,,,,,,,,,,,,,,,,,
4/6/2024 7:00,0,422,,,,,,,,,,,,,,,,,,
4/6/2024 6:45,0,422,,,,,,,,,,,,,,,,,,
4/6/2024 6:30,0,422,,,,,,,,,,,,,,,,,,
4/6/2024 6:15,0,422,,,,,,,,,,,,,,,,,,
4/6/2024 6:00,0,422,,,,,,,,,,,,,,,,,,
4/6/2024 5:45,0,423,,,,,,,,,,,,,,,,,,
4/6/2024 5:30,0,423,,,,,,,,,,,,,,,,,,
4/6/2024 5:15,0,423,,,,,,,,,,,,,,,,,,
4/6/2024 5:00,0,423,,,,,,,,,,,,,,,,,,
4/6/2024 4:45,0,423,,,,,,,,,,,,,,,,,,
4/6/2024 4:30,0,423,,,,,,,,,,,,,,,,,,
4/6/2024 4:15,0,424,,,,,,,,,,,,,,,,,,
4/6/2024 4:00,0,424,,,,,,,,,,,,,,,,,,
4/6/2024 3:45,0,424,,,,,,,,,,,,,,,,,,
4/6/2024 3:30,0,424,,,,,,,,,,,,,,,,,,
4/6/2024 3:15,0,424,,,,,,,,,,,,,,,,,,
4/6/2024 3:00,0,424,,,,,,,,,,,,,,,,,,
4/6/2024 2:45,0,425,,,,,,,,,,,,,,,,,,
4/6/2024 2:30,0,425,,,,,,,,,,,,,,,,,,
4/6/2024 2:15,0,425,,,,,,,,,,,,,,,,,,
4/6/2024 2:00,0,425,,,,,,,,,,,,,,,,,,
4/6/2024 1:45,0,425,,,,,,,,,,,,,,,,,,
4/6/2024 1:30,0,426,,,,,,,,,,,,,,,,,,
4/6/2024 1:15,0,426,,,,,,,,,,,,,,,,,,
4/6/2024 1:00,0,426,,,,,,,,,,,,,,,,,,
4/6/2024 0:45,0,426,,,,,,,,,,,,,,,,,,
4/6/2024 0:30,0,426,,,,,,,,,,,,,,,,,,
4/6/2024 0:15,0,426,,,,,,,,,,,,,,,,,,
4/6/2024 0:00,0,426,,,,,,,,,,,,,,,,,,
3/6/2024 23:45,0,427,,,,,,,,,,,,,,,,,,
3/6/2024 23:30,0,427,,,,,,,,,,,,,,,,,,
3/6/2024 23:15,0,427,,,,,,,,,,,,,,,,,,
3/6/2024 23:00,0,427,,,,,,,,,,,,,,,,,,
3/6/2024 22:45,0,427,,,,,,,,,,,,,,,,,,
3/6/2024 22:30,0,427,,,,,,,,,,,,,,,,,,
3/6/2024 22:15,0,428,,,,,,,,,,,,,,,,,,
3/6/2024 22:00,0,428,,,,,,,,,,,,,,,,,,
3/6/2024 21:45,0,428,,,,,,,,,,,,,,,,,,
3/6/2024 21:30,0,428,,,,,,,,,,,,,,,,,,
3/6/2024 21:15,0,428,,,,,,,,,,,,,,,,,,
3/6/2024 21:00,0,428,,,,,,,,,,,,,,,,,,
