Qualidade dos Dados:      Aprovado         Suspeito         Reprovado         Fora do Limite         N√£o Verificado              R√©gua Seca         R√©gua Coberta         Rio Seco         Rio Cortado        Temperatura Interna / Status da Bateria:        Normal           Aten√ß√£o           Cr√≠tico         N√£o Verificado,,,,,
Esta√ß√£o: 5 - 87450004 - CAIS MAUA,,,,,
Data/Hora,Chuva Hor·ria (mm),NÌvel adotado (cm),Vaz„o (m≥/s),Bateria (V),Temp. Interna (∫C)
7/5/2024 13:00,,,,13.9,36.9
7/5/2024 12:45,,,,13.9,36.9
7/5/2024 12:30,,,,13.9,36.9
7/5/2024 12:15,0,526,,13.9,34.1
7/5/2024 12:00,0,526,,13.9,34.1
7/5/2024 11:45,0,527,,13.9,34.1
7/5/2024 11:30,0,527,,13.9,34.1
7/5/2024 11:15,0,528,,14,31.8
7/5/2024 11:00,0,527,,14,31.8
7/5/2024 10:45,0,528,,14,31.8
7/5/2024 10:30,0,528,,14,31.8
7/5/2024 10:15,0,526,,14.1,29.8
7/5/2024 10:00,0,528,,14.1,29.8
7/5/2024 9:45,0,526,,14.1,29.8
7/5/2024 9:30,0,527,,14.1,29.8
7/5/2024 9:15,0,525,,14.2,27.1
7/5/2024 9:00,0,527,,14.2,27.1
7/5/2024 8:45,0,527,,14.2,27.1
7/5/2024 8:30,0,525,,14.2,27.1
7/5/2024 8:15,0,528,,13.3,24.6
7/5/2024 8:00,0,527,,13.3,24.6
7/5/2024 7:45,0,526,,13.3,24.6
7/5/2024 7:30,0,527,,13.3,24.6
7/5/2024 7:15,0,528,,13,21.9
7/5/2024 7:00,0,527,,13,21.9
7/5/2024 6:45,0,527,,13,21.9
7/5/2024 6:30,0,526,,13,21.9
7/5/2024 6:15,0,528,,13,21.4
7/5/2024 6:00,0,527,,13,21.4
7/5/2024 5:45,0,527,,13,21.4
7/5/2024 5:30,0,525,,13,21.4
7/5/2024 5:15,0,527,,13,21.6
7/5/2024 5:00,0,526,,13,21.6
7/5/2024 4:45,0,529,,13,21.6
7/5/2024 4:30,0,527,,13,21.6
7/5/2024 4:15,0,527,,13,22.1
7/5/2024 4:00,0,527,,13,22.1
7/5/2024 3:45,0,528,,13,22.1
7/5/2024 3:30,0,527,,13,22.1
7/5/2024 3:15,0,527,,13,22.6
7/5/2024 3:00,0,527,,13,22.6
7/5/2024 2:45,0,527,,13,22.6
7/5/2024 2:30,0,527,,13,22.6
7/5/2024 2:15,0,528,,13,23
7/5/2024 2:00,0,528,,13,23
7/5/2024 1:45,0,527,,13,23
7/5/2024 1:30,0,527,,13,23
7/5/2024 1:15,0,529,,13,23.7
7/5/2024 1:00,0,529,,13,23.7
7/5/2024 0:45,0,527,,13,23.7
7/5/2024 0:30,0,529,,13,23.7
7/5/2024 0:15,0,531,,13,24.4
7/5/2024 0:00,0,529,,13,24.4
6/5/2024 23:45,0,529,,13,24.4
6/5/2024 23:30,0,528,,13,24.4
6/5/2024 23:15,0,528,,13,24.6
6/5/2024 23:00,0,530,,13,24.6
6/5/2024 22:45,0,529,,13,24.6
6/5/2024 22:30,0,530,,13,24.6
6/5/2024 22:15,0,530,,13.1,24.9
6/5/2024 22:00,0,529,,13.1,24.9
6/5/2024 21:45,0,529,,13.1,24.9
6/5/2024 21:30,0,528,,13.1,24.9
6/5/2024 21:15,0,529,,13.1,25.5
6/5/2024 21:00,0,532,,13.1,25.5
6/5/2024 20:45,0,532,,13.1,25.5
6/5/2024 20:30,0,531,,13.1,25.5
6/5/2024 20:15,0,533,,13.1,26.7
6/5/2024 20:00,0,533,,13.1,26.7
6/5/2024 19:45,0,531,,13.1,26.7
6/5/2024 19:30,0,532,,13.1,26.7
6/5/2024 19:15,0,529,,13.1,28.5
6/5/2024 19:00,0,529,,13.1,28.5
6/5/2024 18:45,0,525,,13.1,28.5
6/5/2024 18:30,0,526,,13.1,28.5
6/5/2024 18:15,0,527,,13.4,32.7
6/5/2024 18:00,0,526,,13.4,32.7
6/5/2024 17:45,0,529,,13.4,32.7
6/5/2024 17:30,0,525,,13.4,32.7
6/5/2024 17:15,0,528,,13.6,35.8
6/5/2024 17:00,0,526,,13.6,35.8
6/5/2024 16:45,0,526,,13.6,35.8
6/5/2024 16:30,0,528,,13.6,35.8
6/5/2024 16:15,0,527,,13.8,37.1
6/5/2024 16:00,0,528,,13.8,37.1
6/5/2024 15:45,0,524,,13.8,37.1
6/5/2024 15:30,0,528,,13.8,37.1
6/5/2024 15:15,0,527,,13.8,37.6
6/5/2024 15:00,0,528,,13.8,37.6
6/5/2024 14:45,0,526,,13.8,37.6
6/5/2024 14:30,0,529,,13.8,37.6
6/5/2024 14:15,0,529,,13.8,36.4
6/5/2024 14:00,0,526,,13.8,36.4
6/5/2024 13:45,0,526,,13.8,36.4
6/5/2024 13:30,0,528,,13.8,36.4
6/5/2024 13:15,0,526,,13.8,34.6
6/5/2024 13:00,0,527,,13.8,34.6
6/5/2024 12:45,0,527,,13.8,34.6
6/5/2024 12:30,0,523,,13.8,34.6
6/5/2024 12:15,0,524,,13.9,32.9
6/5/2024 12:00,0,527,,13.9,32.9
6/5/2024 11:45,0,525,,13.9,32.9
6/5/2024 11:30,0,525,,13.9,32.9
6/5/2024 11:15,0,526,,14,30.6
6/5/2024 11:00,0,526,,14,30.6
6/5/2024 10:45,0,526,,14,30.6
6/5/2024 10:30,0,526,,14,30.6
6/5/2024 10:15,0,525,,13.6,27.6
6/5/2024 10:00,0,525,,13.6,27.6
6/5/2024 9:45,0,525,,13.6,27.6
6/5/2024 9:30,0,525,,13.6,27.6
6/5/2024 9:15,0,527,,13.4,26.3
6/5/2024 9:00,0,529,,13.4,26.3
6/5/2024 8:45,0,525,,13.4,26.3
6/5/2024 8:30,0,526,,13.4,26.3
6/5/2024 8:15,0,529,,12.8,23.6
6/5/2024 8:00,0,527,,12.8,23.6
6/5/2024 7:45,0,528,,12.8,23.6
6/5/2024 7:30,0,527,,12.8,23.6
6/5/2024 7:15,0,528,,12.6,22.2
6/5/2024 7:00,0,527,,12.6,22.2
6/5/2024 6:45,0,525,,12.6,22.2
6/5/2024 6:30,0,528,,12.6,22.2
